condition_type,coupling_dimensionless,delay_ms,perturbation_dimensionless,region,peak_activity_dimensionless,recruited,onset_ms
grid,0.15000000596046448,8.0,0.699999988079071,2,0.011124278418719769,False,nan
grid,0.15000000596046448,8.0,0.699999988079071,3,0.0009897374548017979,False,nan
grid,0.15000000596046448,12.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.15000000596046448,12.0,0.30000001192092896,1,0.061512939631938934,False,nan
grid,0.15000000596046448,12.0,0.30000001192092896,2,0.005254656076431274,False,nan
grid,0.15000000596046448,12.0,0.30000001192092896,3,0.0004463036893866956,False,nan
grid,0.15000000596046448,12.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.15000000596046448,12.0,0.5,1,0.10534367710351944,False,nan
grid,0.15000000596046448,12.0,0.5,2,0.00952326413244009,False,nan
grid,0.15000000596046448,12.0,0.5,3,0.000842143374029547,False,nan
grid,0.15000000596046448,12.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.15000000596046448,12.0,0.699999988079071,1,0.12173646688461304,False,nan
grid,0.15000000596046448,12.0,0.699999988079071,2,0.011124278418719769,False,nan
grid,0.15000000596046448,12.0,0.699999988079071,3,0.0009897374548017979,False,nan
grid,0.25,1.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.25,1.0,0.30000001192092896,1,0.11682266741991043,False,nan
grid,0.25,1.0,0.30000001192092896,2,0.017072850838303566,False,nan
grid,0.25,1.0,0.30000001192092896,3,0.0024225313682109118,False,nan
grid,0.25,1.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.25,1.0,0.5,1,0.234830841422081,False,nan
grid,0.25,1.0,0.5,2,0.03732422739267349,False,nan
grid,0.25,1.0,0.5,3,0.005511393770575523,False,nan
grid,0.25,1.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.25,1.0,0.699999988079071,1,0.3017842471599579,False,nan
grid,0.25,1.0,0.699999988079071,2,0.04917202144861221,False,nan
grid,0.25,1.0,0.699999988079071,3,0.007282224949449301,False,nan
grid,0.25,4.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.25,4.0,0.30000001192092896,1,0.11682266741991043,False,nan
grid,0.25,4.0,0.30000001192092896,2,0.017072850838303566,False,nan
grid,0.25,4.0,0.30000001192092896,3,0.0024225313682109118,False,nan
grid,0.25,4.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.25,4.0,0.5,1,0.234830841422081,False,nan
grid,0.25,4.0,0.5,2,0.03732422739267349,False,nan
grid,0.25,4.0,0.5,3,0.005511393770575523,False,nan
grid,0.25,4.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.25,4.0,0.699999988079071,1,0.3017842471599579,False,nan
grid,0.25,4.0,0.699999988079071,2,0.04917202144861221,False,nan
grid,0.25,4.0,0.699999988079071,3,0.007282224949449301,False,nan
grid,0.25,8.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.25,8.0,0.30000001192092896,1,0.11682266741991043,False,nan
grid,0.25,8.0,0.30000001192092896,2,0.017072850838303566,False,nan
grid,0.25,8.0,0.30000001192092896,3,0.0024225313682109118,False,nan
grid,0.25,8.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.25,8.0,0.5,1,0.234830841422081,False,nan
grid,0.25,8.0,0.5,2,0.03732422739267349,False,nan
grid,0.25,8.0,0.5,3,0.005511393770575523,False,nan
grid,0.25,8.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.25,8.0,0.699999988079071,1,0.3017842471599579,False,nan
grid,0.25,8.0,0.699999988079071,2,0.04917202144861221,False,nan
grid,0.25,8.0,0.699999988079071,3,0.007282224949449301,False,nan
grid,0.25,12.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.25,12.0,0.30000001192092896,1,0.11682266741991043,False,nan
grid,0.25,12.0,0.30000001192092896,2,0.017072850838303566,False,nan
grid,0.25,12.0,0.30000001192092896,3,0.0024225313682109118,False,nan
grid,0.25,12.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.25,12.0,0.5,1,0.234830841422081,False,nan
grid,0.25,12.0,0.5,2,0.03732422739267349,False,nan
grid,0.25,12.0,0.5,3,0.005511393770575523,False,nan
grid,0.25,12.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.25,12.0,0.699999988079071,1,0.3017842471599579,False,nan
grid,0.25,12.0,0.699999988079071,2,0.04917202144861221,False,nan
grid,0.25,12.0,0.699999988079071,3,0.007282224949449301,False,nan
grid,0.3499999940395355,1.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.3499999940395355,1.0,0.30000001192092896,1,0.1976778507232666,False,nan
grid,0.3499999940395355,1.0,0.30000001192092896,2,0.04277263209223747,False,nan
grid,0.3499999940395355,1.0,0.30000001192092896,3,0.008584897965192795,False,nan
grid,0.3499999940395355,1.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.3499999940395355,1.0,0.5,1,0.6416749358177185,True,16.100000381469727
grid,0.3499999940395355,1.0,0.5,2,0.20353929698467255,False,nan
grid,0.3499999940395355,1.0,0.5,3,0.04465096816420555,False,nan
grid,0.3499999940395355,1.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.3499999940395355,1.0,0.699999988079071,1,0.7621630430221558,True,14.699999809265137
grid,0.3499999940395355,1.0,0.699999988079071,2,0.3033706545829773,False,nan
grid,0.3499999940395355,1.0,0.699999988079071,3,0.07115530222654343,False,nan
